"","latitude","longitude","yearcollected","monthcollected","daycollected","sname","depth","depthprecision","bottomdepth","collectioncode","collector","minimumdepth","maximumdepth","fieldnumber","observedindividualcount"
"1",44.28333,-58.13333,1980,10,20,"Illex illecebrosus",56,4,121,"FALL","HAM",52,60,"HAM1980043-41",2
"2",44.21667,-60.05,1980,10,18,"Artediellus uncinatus",55,1,162,"FALL","HAM",54,56,"HAM1980043-23",10
"3",44.93333,-66.4,1980,7,10,"Amblyraja radiata",57,0,114,"COMPARE","HAM",57,57,"HAM1980037-17",3
"4",42.63333,-65.93333,1979,11,5,"Limanda ferruginea",42,0,79,"FALL","HAM",42,42,"HAM1979027-50",4
"5",43.38333,-62.38333,1979,3,29,"Alosa pseudoharengus",47,2,89,"SPRING","HAM",45,49,"HAM1979014-71",1
"6",43.66667,-66.55,1978,7,11,"Sebastes",61.5,1.5,114,"SUMMER","ATC",60,63,"ATC1978279-19",1
"7",43.73333,-61.56667,1979,3,27,"Hemitripterus americanus",33,0,54,"SPRING","HAM",33,33,"HAM1979014-54",6
"8",43.88333,-61.28333,1979,3,27,"Myoxocephalus octodecemspinosus",30,2,31,"SPRING","HAM",28,32,"HAM1979014-55",2
"9",45.01667,-65.91667,1975,7,16,"Urophycis tenuis",49.5,0.5,90,"SUMMER","ATC",49,50,"ATC1975236-6",2
"10",43.81667,-60.61667,1971,7,15,"Peprilus triacanthus",24.5,1.5,48,"SUMMER","ATC",23,26,"ATC1971189-22",1
"11",44.96667,-66,1976,7,13,"Myoxocephalus octodecemspinosus",51,1,96,"SUMMER","ATC",50,52,"ATC1976250-3",7
"12",44.9,-65.65,1972,7,1,"Gadus morhua",46,1,69,"SUMMER","ATC",45,47,"ATC1972200-59",38
"13",42.81667,-63.4,1977,7,16,"Merluccius bilinearis",123.5,7.5,347,"SUMMER","ATC",116,131,"ATC1977265-57",3
"14",43.06667,-64.81667,1971,7,6,"Melanogrammus aeglefinus",48.5,2.5,87,"SUMMER","ATC",46,51,"ATC1971188-32",86
"15",42.76667,-64.06667,1980,7,13,"Merluccius bilinearis",122.5,2.5,342,"COMPARE","HAM",120,125,"HAM1980037-40",182
"16",43.43333,-60.28333,1980,7,19,"Anarhichas lupus",109.5,2.5,388,"COMPARE","HAM",107,112,"HAM1980038-20",1
"17",44.48333,-60.26667,1973,7,24,"Limanda ferruginea",39,1,78,"SUMMER","ATC",38,40,"ATC1973213-8",2
"18",43.73333,-63.93333,1974,7,19,"Illex illecebrosus",125,0,236,"SUMMER","ATC",125,125,"ATC1974225-81",24
"19",45.11667,-66.01667,1977,7,9,"Pseudopleuronectes americanus",40,0,77,"SUMMER","ATC",40,40,"ATC1977265-4",2
"20",44.01667,-61.18333,1980,7,18,"Leucoraja ocellata",31,0,61,"SUMMER","ATC",31,31,"ATC1980307-6",1
"21",43.51667,-62.55,1978,11,16,"Gadus morhua",50,1,86,"FALL","HAM",49,51,"HAM1978009-10",4
"22",43.75,-62.91667,1979,7,7,"Myxine glutinosa",135,0,245,"SUMMER","ATC",135,135,"ATC1979292-3",1
"23",43.46667,-66.65,1980,7,8,"Myoxocephalus octodecemspinosus",57.5,0.5,110,"SUMMER","ATC",57,58,"ATC1980306-8",6
"24",43.45,-64.95,1974,7,14,"Urophycis tenuis",83,2,161,"SUMMER","ATC",81,85,"ATC1974225-40",8
"25",43.53333,-61.98333,1979,7,14,"Melanogrammus aeglefinus",45.5,0.5,81,"SUMMER","ATC",45,46,"ATC1979292-69",133
