A2	Year	Month	SD	LN.A2
76	1990	3	25	4.33
160	1990	3	25	5.08
242	1990	3	25	5.49
190	1990	3	25	5.25
180	1990	3	25	5.19
36	1990	3	26	3.58
4	1990	3	28	1.39
198	1990	3	28	5.29
28	1990	3	28	3.33
70	1990	3	28	4.25
134	1990	3	28	4.9
21	1990	12	25	3.04
101	1990	12	25	4.62
134	1990	12	25	4.9
3	1990	12	25	1.1
43	1990	12	25	3.76
189	1990	12	25	5.24
108	1990	12	25	4.68
290	1990	12	25	5.67
24	1990	12	25	3.18
45	1990	12	26	3.81
19	1990	12	28	2.94
87	1990	12	28	4.47
0	1990	12	28	-0.69
10	1990	12	28	2.3
279	1990	12	28	5.63
7	1990	12	28	1.95
22	1991	3	25	3.09
93	1991	3	25	4.53
20	1991	3	25	3
70	1991	3	25	4.25
4	1991	3	25	1.39
177	1991	3	25	5.18
1	1991	3	25	0
76	1991	3	25	4.33
31	1991	3	25	3.43
11	1991	3	25	2.4
84	1991	3	25	4.43
16	1991	3	26	2.77
0	1991	3	28	-0.69
296	1991	3	28	5.69
74	1991	3	28	4.3
1	1991	3	28	0
0	1991	3	28	-0.69
3	1991	3	28	1.1
8	1991	3	28	2.08
35	1991	12	25	3.56
0	1991	12	25	-0.69
39	1991	12	25	3.66
0	1991	12	25	-0.69
50	1991	12	25	3.91
2	1991	12	25	0.69
34	1991	12	25	3.53
44	1991	12	25	3.78
1	1991	12	25	0
0	1991	12	25	-0.69
8	1991	12	25	2.08
13	1991	12	25	2.56
315	1991	12	25	5.75
0	1991	12	25	-0.69
0	1991	12	26	-0.69
0	1991	12	28	-0.69
8	1991	12	28	2.08
27	1991	12	28	3.3
0	1991	12	28	-0.69
2	1991	12	28	0.69
4	1991	12	28	1.39
12	1992	3	28	2.48
0	1992	3	28	-0.69
1	1992	3	28	0
2	1992	3	28	0.69
2	1993	3	25	0.69
54	1993	3	25	3.99
521	1993	3	25	6.26
209	1993	3	25	5.34
1116	1993	3	25	7.02
4	1993	3	25	1.39
17	1993	3	25	2.83
11	1993	3	25	2.4
405	1993	3	25	6
22	1993	3	25	3.09
12	1993	3	26	2.48
7	1993	3	26	1.95
1	1993	3	28	0
15	1993	3	28	2.71
10	1993	3	28	2.3
5	1993	3	28	1.61
0	1993	3	28	-0.69
1	1993	3	28	0
2	1993	3	28	0.69
4	1993	3	28	1.39
5749	1993	11	25	8.66
209	1993	11	25	5.34
640	1993	11	25	6.46
468	1993	11	25	6.15
2115	1993	11	25	7.66
9	1993	11	28	2.2
15	1993	11	28	2.71
258	1993	11	28	5.55
9	1993	11	28	2.2
1	1993	11	28	0
3	1993	11	28	1.1
3	1993	11	28	1.1
1032	1994	3	25	6.94
631	1994	3	25	6.45
22	1994	3	25	3.09
154	1994	3	25	5.04
11	1994	3	25	2.4
645	1994	3	25	6.47
55	1994	3	26	4.01
2	1994	3	26	0.69
188	1994	3	26	5.24
0	1994	3	28	-0.69
52	1994	3	28	3.95
333	1994	3	28	5.81
147	1994	3	28	4.99
2	1994	3	28	0.69
3	1994	3	28	1.1
3	1994	3	28	1.1
0	1994	3	28	-0.69
0	1994	3	28	-0.69
2	1994	3	28	0.69
9	1994	3	28	2.2
0	1994	3	28	-0.69
8	1994	11	25	2.08
1184	1994	11	25	7.08
1837	1994	11	25	7.52
10	1994	11	25	2.3
1821	1994	11	25	7.51
498	1994	11	25	6.21
669	1994	11	25	6.51
0	1994	11	25	-0.69
124	1994	11	25	4.82
1934	1994	11	25	7.57
1424	1994	11	25	7.26
5760	1994	11	25	8.66
3	1994	11	25	1.1
0	1994	11	26	-0.69
0	1994	11	26	-0.69
56	1994	11	26	4.03
11	1994	11	28	2.4
24	1994	11	28	3.18
37	1994	11	28	3.61
8	1994	11	28	2.08
0	1994	11	28	-0.69
623	1995	12	25	6.43
238	1995	12	25	5.47
73	1995	12	25	4.29
812	1995	12	25	6.7
1078	1995	12	25	6.98
364	1995	12	25	5.9
31	1995	12	25	3.43
508	1995	12	25	6.23
334	1995	12	25	5.81
483	1995	12	25	6.18
112	1995	12	25	4.72
36	1995	12	26	3.58
1	1995	12	26	0
340	1995	12	26	5.83
42	1995	12	28	3.74
149	1995	12	28	5
249	1995	12	28	5.52
918	1995	12	28	6.82
1	1995	12	28	0
3	1995	12	28	1.1
30	1995	12	28	3.4
158	1996	3	25	5.06
1346	1996	3	25	7.2
0	1996	3	25	-0.69
134	1996	3	25	4.9
0	1996	3	25	-0.69
2	1996	3	25	0.69
40	1996	3	25	3.69
122	1996	3	25	4.8
1258	1996	3	25	7.14
0	1996	3	25	-0.69
194	1996	3	25	5.27
383	1996	3	25	5.95
0	1996	3	25	-0.69
53	1996	3	25	3.97
246	1996	3	25	5.51
180	1996	3	25	5.19
852	1996	3	25	6.75
133	1996	3	25	4.89
1130	1996	3	25	7.03
2	1996	3	25	0.69
422	1996	3	25	6.05
64	1996	3	26	4.16
85	1996	3	26	4.44
5	1996	3	26	1.61
10	1996	3	26	2.3
0	1996	3	28	-0.69
0	1996	3	28	-0.69
79	1996	3	28	4.37
2670	1996	3	28	7.89
324	1996	3	28	5.78
0	1996	3	28	-0.69
0	1996	3	28	-0.69
1	1996	3	28	0
0	1996	3	28	-0.69
9	1996	3	28	2.2
591	1996	3	28	6.38

