# based upon FAO tutorials
# data for fit of Beverton and Holt, and Ricker models to the Baltic Cod
# Subdivisions 25-32 estimates of R(age2) and SSB.
# The data on Recruitment and SSB are the output of an 
# ICA analysis of the data for Baltic Cod Subdivisions 25-32
Year	R.age2	SSB
1966	395003	222748
1967	338318	291234
1968	323594	308052
1969	275733	291703
1970	219933	279006
1971	247146	249058
1972	300278	265048
1973	401624	280835
1974	471496	339655
1975	289931	430985
1976	764716	496905
1977	802441	559498
1978	1325411	902244
1979	880126	1549105
1980	625555	2231016
1981	764722	2988379
1982	711148	2647628
1983	474653	2422800
1984	322555	2055734
1985	278505	1385811
1986	271654	869145
1987	357657	597954
1988	205155	533672
1989	115367	495051
1990	132621	391321
1991	117514	255452
1992	183521	208736
1993	242297	226013
1994	202520	348024
1995	209949	473054
1996	207887	493673

