PID,POS,X,Y,label
1,1,-80,66.25,0A     
1,2,-80,78.166667,0A     
1,3,-73.5,78.166667,0A     
1,4,-73.5,75.083336,0A     
1,5,-73.271667,75,0A     
1,6,-73.046669,74.84333,0A     
1,7,-72.883331,74.736664,0A     
1,8,-71.763336,74.476669,0A     
1,9,-71.428337,74.400002,0A     
1,10,-70.561668,74.208336,0A     
1,11,-70.385002,74.166664,0A     
1,12,-70.208336,74.125,0A     
1,13,-70.110001,74.101669,0A     
1,14,-69.866669,74.043335,0A     
1,15,-69.838333,74.036667,0A     
1,16,-69.525002,73.959999,0A     
1,17,-69.188332,73.871666,0A     
1,18,-68.851669,73.778336,0A     
1,19,-68.808334,73.768333,0A     
1,20,-68.489998,73.695,0A     
1,21,-68.205002,73.631668,0A     
1,22,-68.091667,73.60833,0A     
1,23,-67.251663,73.518333,0A     
1,24,-66.421669,73.431664,0A     
1,25,-66.138336,73.308334,0A     
1,26,-65.126663,72.846664,0A     
1,27,-65.014999,72.794998,0A     
1,28,-64.973335,72.761665,0A     
1,29,-64.904999,72.728333,0A     
1,30,-64.646667,72.605003,0A     
1,31,-64.434998,72.508331,0A     
1,32,-64.220001,72.41333,0A     
1,33,-63.683334,72.183334,0A     
1,34,-63.514999,72.106667,0A     
1,35,-63.351665,72.028336,0A     
1,36,-63.064999,71.881668,0A     
1,37,-62.884998,71.78833,0A     
1,38,-62.826668,71.745003,0A     
1,39,-62.558334,71.548332,0A     
1,40,-62.533333,71.529999,0A     
1,41,-62.488335,71.489998,0A     
1,42,-62.424999,71.431664,0A     
1,43,-62.291668,71.315002,0A     
1,44,-62.151669,71.201668,0A     
1,45,-61.711666,70.863335,0A     
1,46,-61.631668,70.803337,0A     
1,47,-61.343334,70.59333,0A     
1,48,-61.290001,70.551666,0A     
1,49,-61.176666,70.223335,0A     
1,50,-61.146667,70.146667,0A     
1,51,-61.134998,70.125,0A     
1,52,-61.07,70.026665,0A     
1,53,-61,69.93,0A     
1,54,-61,69.93,0A     
1,55,-60.993332,69.921669,0A     
1,56,-60.970001,69.830002,0A     
1,57,-60.860001,69.489998,0A     
1,58,-60.458332,69.213333,0A     
1,59,-60.396667,69.171669,0A     
1,60,-60.308334,69.113335,0A     
1,61,-60.150002,69.013336,0A     
1,62,-60.040001,68.946663,0A     
1,63,-59.243332,68.633331,0A     
1,64,-59.238335,68.631668,0A     
1,65,-59.076668,68.566666,0A     
1,66,-59.029999,68.548332,0A     
1,67,-58.706665,68.421669,0A     
