Y,X,Name,label,PID,POS,Date.start,Date.end
45,-60.2666666,ceha,Central Eastern Hole A,1,1,2000-04-01,2000-06-30
44.56666667,-60.2666666,ceha,Central Eastern Hole A,1,2,2000-04-01,2000-06-30
44.56666667,-59.88333333,ceha,Central Eastern Hole A,1,3,2000-04-01,2000-06-30
45,-59.88333333,ceha,Central Eastern Hole A,1,4,2000-04-01,2000-06-30
45,-60.2666666,ceha,Central Eastern Hole A,1,5,2000-04-01,2000-06-30
45,-59.45,cehb,Central Eastern Hole B,2,1,2000-04-01,2000-06-30
44.56666667,-59.45,cehb,Central Eastern Hole B,2,2,2000-04-01,2000-06-30
44.56666667,-58.75,cehb,Central Eastern Hole B,2,3,2000-04-01,2000-06-30
45,-58.75,cehb,Central Eastern Hole B,2,4,2000-04-01,2000-06-30
45,-59.45,cehb,Central Eastern Hole B,2,5,2000-04-01,2000-06-30
44.56666667,-58.75,eaeh,Eastern Area of Eastern Hole,3,1,2000-06-01,2000-06-30
45,-58.75,eaeh,Eastern Area of Eastern Hole,3,2,2000-06-01,2000-06-30
45,-58.13333333,eaeh,Eastern Area of Eastern Hole,3,3,2000-06-01,2000-06-30
44.56666667,-58.13333333,eaeh,Eastern Area of Eastern Hole,3,4,2000-06-01,2000-06-30
44.56666667,-58.75,eaeh,Eastern Area of Eastern Hole,3,5,2000-06-01,2000-06-30
45.5,-59.16666666,lh,Louisbourg Hole,4,1,2000-04-01,2000-06-30
45.5,-58.11666667,lh,Louisbourg Hole,4,2,2000-04-01,2000-06-30
45.91666667,-58.11666667,lh,Louisbourg Hole,4,3,2000-04-01,2000-06-30
45.91666667,-59.16666666,lh,Louisbourg Hole,4,4,2000-04-01,2000-06-30
45.5,-59.16666666,lh,Louisbourg Hole,4,5,2000-04-01,2000-06-30
45.33,-60.95,bn,Bad Neighbours,5,1,2000-04-01,2000-06-30
45.3166666,-60.95,bn,Bad Neighbours,5,2,2000-04-01,2000-06-30
45.56666666,-60.08333333,bn,Bad Neighbours,5,3,2000-04-01,2000-06-30
45.8,-60.08333333,bn,Bad Neighbours,5,4,2000-04-01,2000-06-30
45.33,-60.95,bn,Bad Neighbours,5,5,2000-04-01,2000-06-30
45,-61,ch,Canso Hole,6,1,2000-04-01,2000-06-30
44.56666666,-61,ch,Canso Hole,6,2,2000-04-01,2000-06-30
44.56666666,-60.61666667,ch,Canso Hole,6,3,2000-04-01,2000-06-30
45,-60.61666667,ch,Canso Hole,6,4,2000-04-01,2000-06-30
45,-61,ch,Canso Hole,6,5,2000-04-01,2000-06-30
44.56666666,-60.6166666,ech,Area East of Canso Hole,7,1,2000-06-01,2000-06-30
45,-60.6166666,ech,Area East of Canso Hole,7,2,2000-06-01,2000-06-30
45,-60.266666,ech,Area East of Canso Hole,7,3,2000-06-01,2000-06-30
44.5666666,-60.266666,ech,Area East of Canso Hole,7,4,2000-06-01,2000-06-30
44.5666666,-60.6166666,ech,Area East of Canso Hole,7,5,2000-06-01,2000-06-30
45,-60.2666666,ceh,Central Eastern Hole,8,1,2000-04-01,2000-06-30
44.5666666,-60.2666666,ceh,Central Eastern Hole,8,2,2000-04-01,2000-06-30
44.5666666,-58.75,ceh,Central Eastern Hole,8,3,2000-04-01,2000-06-30
45,-58.75,ceh,Central Eastern Hole,8,4,2000-04-01,2000-06-30
45,-60.2666666,ceh,Central Eastern Hole,8,5,2000-04-01,2000-06-30
44.35,-60.133333,sb,NW Sable Box,9,1,2000-05-16,2000-08-15
44.35,-59.83333333,sb,NW Sable Box,9,2,2000-05-16,2000-08-15
44.1666666,-59.83333333,sb,NW Sable Box,9,3,2000-05-16,2000-08-15
44.1666666,-60.133333,sb,NW Sable Box,9,4,2000-05-16,2000-08-15
44.35,-60.133333,sb,NW Sable Box,9,5,2000-05-16,2000-08-15
