Station,Lat Start,Long Start,Lat End,Long End,ID,Caution Code
1,46.4090,60.1552,46.4062,60.1508,Old,1
2,46.4928,60.0843,46.4952,60.1028,Old,1
3,46.4920,60.2400,46.4913,60.2440,Old,1
4,46.4830,60.3415,46.4858,60.3422,New 06,1
5,46.5603,60.3087,46.5627,60.3077,New 06,1
6,46.6068,60.2240,46.6043,60.2217,Old,1
7,46.6070,60.0818,46.6097,60.0845,Old,1
10,46.5860,60.0043,46.5887,60.0047,New 06,1
11,46.5463,59.6252,46.5493,59.6247,Old,1
12,46.5792,59.4425,46.5770,59.4395,Old,1
14,46.4733,59.4158,46.4703,59.4148,Old,1
15,46.3788,59.2513,46.3817,59.2493,Old,1
21,46.4100,59.6933,46.4083,59.6902,Old,1
22,46.4302,59.5543,46.4327,59.5523,Old,1
24,46.3873,59.5363,46.3872,59.5407,Old,1
29,46.0925,59.3620,46.0913,59.3658,Old,1
31,46.0277,58.9535,46.0248,58.9527,Old,1
32,46.1460,58.7622,46.1475,58.7647,New 06,1
34,45.9593,58.8325,45.9588,58.8285,Old,1
35,45.8140,58.9473,45.8148,58.9430,Old,1
36,45.7958,59.0840,45.7933,59.0858,Old,1
37,45.7408,58.7862,45.7390,58.7840,Old,1
38,45.6017,58.8908,45.6010,58.8908,Old,1
41,45.4627,58.8475,45.4627,58.8430,Old,1
42,45.3708,59.0548,45.3737,59.0555,Old,1
45,45.3560,59.1962,45.3583,59.1990,Old,1
46,45.5262,59.2613,45.5277,59.2575,Old,1
48,45.5693,59.3457,45.5683,59.3417,Old,1
51,45.7608,59.5192,45.7623,59.5153,Old,1
52,45.7168,59.7588,45.7143,59.7568,Old,1
59,45.3062,58.9258,45.3088,58.9238,Old,1
61,45.0505,58.7907,45.0535,58.7898,Old,1
63,44.8960,59.0540,44.8935,59.0520,Old,1
64,44.8908,59.2993,44.8923,59.2968,Old,1
65,44.9843,59.4280,44.9868,59.4268,Old,1
66,45.0382,59.6048,45.0408,59.6045,Old,1
67,45.0828,59.7140,45.0838,59.7168,Old,1
68,44.9758,59.6353,44.9788,59.6350,Old,1
69,44.8548,59.7190,44.8527,59.7168,Old,1
70,44.9435,59.9725,44.9462,59.9735,Old,1
71,45.0393,60.0160,45.0363,60.0158,Old,1
72,45.1088,59.8920,45.1088,59.8960,Old,1
73,45.2093,59.9422,45.2113,59.9442,Old,1
74,45.2725,59.7797,45.2747,59.7825,Old,1
75,45.2895,59.6445,45.2878,59.6408,Old,1
76,45.3698,59.7073,45.3725,59.7090,Old,1
77,45.4442,59.5377,45.4442,59.5418,Old,1
81,45.3635,59.9400,45.3653,59.9380,Old,1
84,45.3097,60.2375,45.3072,60.2345,Old,1
85,45.3708,60.2247,45.3733,60.2245,Old,1
86,45.4470,60.3537,45.4450,60.3562,Old,1
88,45.5912,60.1930,45.5887,60.1935,Old,1
89,45.5795,60.0735,45.5782,60.0700,Old,1
91,45.9037,59.2873,45.9027,59.2835,Old,1
93,45.8313,59.5745,45.8283,59.5773,New 06,1
97,45.1507,60.2272,45.1525,60.2238,Old,1
98,45.0487,60.3583,45.0517,60.3572,Old,1
104,45.0422,60.8652,45.0440,60.8617,Old,1
108,45.4195,60.7088,45.4187,60.7048,Old,1
109,45.5158,60.6973,45.5153,60.6937,Old,1
110,45.5417,60.5918,45.5392,60.5912,Old,1
112,45.3832,60.4498,45.3812,60.4527,Old,1
113,45.3093,60.3615,45.3118,60.3630,Old,1
114,45.2385,60.5910,45.2362,60.5918,Old,1
116,44.9550,60.2412,44.9563,60.2445,Old,1
118,44.8822,60.1895,44.8798,60.1913,Old,1
119,44.7343,60.3497,44.7373,60.3498,Old,1
120,44.7248,60.1802,44.7245,60.1765,Old,1
121,44.7218,60.0150,44.7225,60.0110,Old,1
124,44.6472,60.0377,44.6477,60.0417,Old,1
125,44.3930,60.0992,44.3955,60.0998,Old,1
126,44.3913,59.9433,44.3908,59.9392,Old,1
127,44.2770,59.9422,44.2777,59.9462,Old,1
128,44.1630,60.1670,44.1605,60.1688,Old,1
130,44.3258,60.2587,44.3273,60.2568,Old,1
131,44.3250,60.4968,44.3228,60.4940,New 06,1
132,44.2598,60.3917,44.2613,60.3882,Old,1
133,44.2177,60.6240,44.2168,60.6210,Old,1
134,44.2783,60.9972,44.2765,60.9933,New 06,1
135,44.2192,60.9578,44.2185,60.9542,Old,1
136,44.2375,61.1028,44.2355,61.1057,Old,1
137,44.3730,61.1785,44.3707,61.1783,Old,1
138,44.4197,61.0468,44.4182,61.0507,Old,1
139,44.5233,61.2167,44.5225,61.2208,Old,1
142,44.5337,60.8103,44.5307,60.8102,Old,1
143,44.4618,60.8618,44.4592,60.8637,Old,1
144,44.3987,60.7752,44.4012,60.7780,New 06,1
147,44.5798,60.2953,44.5785,60.2992,Old,1
149,44.7712,60.5207,44.7685,60.5205,Old,1
150,44.9068,60.4293,44.9058,60.4328,Old,1
151,44.9118,60.5948,44.9093,60.5955,Old,1
152,44.8067,60.7402,44.8092,60.7405,Old,1
153,44.9452,60.7673,44.9482,60.7673,Old,1
154,44.8720,60.8582,44.8693,60.8582,Old,1
155,44.8080,60.9207,44.8062,60.9183,Old,1
156,44.7950,61.0277,44.7918,61.0273,Old,1
157,44.8317,61.2487,44.8337,61.2520,Old,1
158,44.8898,61.2825,44.8923,61.2835,Old,1
162,47.0442,60.1725,47.0460,60.1690,Old,1
163,47.0362,60.0615,47.0365,60.0570,Old,1
165,46.9743,60.0087,46.9722,60.0060,Old,1
167,47.0755,60.3757,47.0753,60.3710,Old,1
168,47.0113,60.2632,47.0140,60.2623,New 06,1
171,46.8927,60.0793,46.8903,60.0820,Old,1
176,46.7727,59.7123,46.7745,59.7148,New 06,1
177,46.7260,59.6345,46.7232,59.6337,Old,1
178,46.6507,59.5653,46.6485,59.5630,Old,1
183,46.6520,60.0305,46.6550,60.0300,Old,1
184,46.7610,60.0620,46.7637,60.0642,Old,1
185,46.8303,60.1465,46.8277,60.1438,Old,1
186,46.7743,60.1795,46.7717,60.1815,Old,1
187,46.7197,60.2593,46.7168,60.2587,Old,1
188,46.6758,60.1638,46.6738,60.1607,Old,1
189,46.6372,60.2395,46.6342,60.2412,Old,1
203,46.4938,59.3075,46.4957,59.3105,New 06,1
207,45.3145,58.1827,45.3160,58.1863,Old,1
208,45.0405,57.8893,45.0407,57.8927,Old,1
210,44.1292,60.0825,44.1297,60.0865,Old,1
211,44.1558,60.4172,44.1548,60.4237,Old,1
216,44.6463,61.8788,44.6452,61.8825,Old,1
231,44.5215,62.4718,44.5207,62.4758,Old,1
235,44.6803,62.5368,44.6828,62.5345,Old,1
236,44.5397,62.6338,44.5418,62.6362,Old,1
244,44.5107,62.8377,44.5117,62.8412,Old,1
259,44.3612,63.0742,44.3618,63.0705,Old,1
261,44.4833,63.3202,44.4865,63.3195,Old,1
266,44.3872,63.4685,44.3867,63.4728,Old,1
267,44.3708,63.5982,44.3682,63.5997,Old,1
268,44.3683,63.7620,44.3687,63.7660,Old,1
269,44.2832,63.7413,44.2822,63.7380,Old,1
270,44.2082,63.8617,44.2092,63.8583,Old,1
278,44.0567,64.1920,44.0615,64.1815,Old,1
300,44.3850,59.7118,44.3867,59.7088,Old,1
301,44.3035,59.7757,44.3057,59.7775,Old,1
302,44.2033,59.6758,44.2025,59.6720,Old,1
305,44.7778,59.9193,44.7755,59.9180,Old,1
306,44.1242,59.7685,44.1262,59.7715,Old,1
307,44.1115,59.9213,44.1133,59.9252,Old,1
308,44.1222,60.2642,44.1213,60.2682,Old,1
309,44.1462,60.5447,44.1493,60.5442,Old,1
324,44.6453,61.3460,44.6480,61.3472,Old,1
325,44.6983,61.4847,44.6958,61.4827,Old,1
327,44.2772,61.2522,44.2740,61.2532,Old,1
330,44.8880,61.4463,44.8882,61.4502,Old,1
333,47.2940,60.1755,47.2928,60.1720,New 06,1
334,47.1698,60.0538,47.1728,60.0530,New 06,1
336,44.6812,59.6660,44.6837,59.6647,Old,1
337,44.5918,59.7523,44.5895,59.7548,Old,1
338,44.7715,59.5990,44.7693,59.5960,Old,1
339,44.6295,59.6753,44.6277,59.6775,New 06,1
340,44.4523,59.5228,44.4503,59.5197,Old,1
341,44.8198,59.4008,44.8180,59.4030,Old,1
342,44.7143,59.3913,44.7168,59.3922,New 06,1
343,44.3645,59.4413,44.3622,59.4413,Old,1
344,44.2690,59.4768,44.2692,59.4725,Old,1
346,44.6343,59.2610,44.6347,59.2575,New 06,1
347,44.4123,59.3228,44.4147,59.3208,Old,1
351,44.4027,59.1287,44.4050,59.1262,Old,1
352,44.3113,59.1597,44.3133,59.1628,Old,1
358,44.6137,58.9288,44.6148,58.9288,Old,1
363,44.7028,58.9463,44.7022,58.9507,Old,1
364,44.8132,58.6877,44.8152,58.6875,Old,1
366,44.8208,58.4267,44.8228,58.4293,Old,1
367,44.7612,58.2982,44.7613,58.3020,Old,1
368,44.8063,58.1007,44.8063,58.1047,Old,1
369,44.8747,58.9898,44.8770,58.9908,Old,1
370,44.8558,58.8108,44.8580,58.8082,Old,1
371,45.8855,58.5278,44.8882,58.5288,Old,1
372,44.9903,58.4658,44.9928,58.4633,Old,1
373,44.8870,58.2083,44.8892,58.2112,Old,1
