"PID","POS","X","Y","label"
1,1,-60.25,45.7,"4VN"
1,2,-60,45.66666,"4VN"
1,3,-57.40641,45.66666,"4VN"
1,4,-58.77425,46.8202,"4VN"
1,5,-59.58892,47.49573,"4VN"
1,6,-60,47.83333,"4VN"
1,7,-60.40917,47.03583,"4VN"
1,8,-60.8,46.7,"4VN"
1,9,-61.11908,46.125,"4VN"
1,10,-61.40417,45.64166,"4VN"
1,11,-60.25,45.7,"4VN"
1,12,-60.25,45.7,"4VN"
2,1,-60,44.16666,"4VS"
2,2,-59,44.16666,"4VS"
2,3,-59,39,"4VS"
2,4,-50,39,"4VS"
2,5,-51,39.94134,"4VS"
2,6,-54.5,43.13502,"4VS"
2,7,-57.40641,45.66666,"4VS"
2,8,-60,45.66666,"4VS"
2,9,-60,44.16666,"4VS"
3,1,-60,45,"4VSB"
3,2,-58.33333,45,"4VSB"
3,3,-58.33333,45.16666,"4VSB"
3,4,-56.82229,45.16666,"4VSB"
3,5,-57.40641,45.66666,"4VSB"
3,6,-60,45.66666,"4VSB"
3,7,-60,45,"4VSB"
4,1,-60,44.16666,"4VSC"
4,2,-59,44.16666,"4VSC"
4,3,-59,43.8,"4VSC"
4,4,-55.25136,43.8,"4VSC"
4,5,-56.82229,45.16666,"4VSC"
4,6,-58.33333,45.16666,"4VSC"
4,7,-58.33333,45,"4VSC"
4,8,-60,45,"4VSC"
4,9,-60,44.16666,"4VSC"
5,1,-59,42,"4VSE"
5,2,-53.26315,42,"4VSE"
5,3,-55.25136,43.8,"4VSE"
5,4,-59,43.8,"4VSE"
5,5,-59,42,"4VSE"
6,1,-59,39,"4VSV"
6,2,-59,42,"4VSV"
6,3,-53.26315,42,"4VSV"
6,4,-50,39,"4VSV"
6,5,-59,39,"4VSV"
7,1,-60.25,45.7,"4W"
7,2,-60,45.66666,"4W"
7,3,-60,44.16666,"4W"
7,4,-59,44.16666,"4W"
7,5,-59,39,"4W"
7,6,-63.33333,39,"4W"
7,7,-63.33333,44.33333,"4W"
7,8,-63.5,44.5,"4W"
7,9,-63.8969,44.78118,"4W"
7,10,-63.16667,45.63611,"4W"
7,11,-62.46881,45.30934,"4W"
7,12,-61.40417,45.64166,"4W"
7,13,-60.25,45.7,"4W"
8,1,-61.66667,45.16666,"4WD"
8,2,-61.5,45,"4WD"
8,3,-61.5,44.83333,"4WD"
8,4,-60,44.83333,"4WD"
8,5,-60,45.66666,"4WD"
8,6,-60.25,45.7,"4WD"
8,7,-61.40417,45.64166,"4WD"
