"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Sand Blisters, Amphioxus"|1828|||||||||||||||||||"XXXXX"
"Northern Hagfish"|241|"yes"|"fish"|"hagfish"|"inshore;shelf"|"demersal"|"mud"|"40;1200"|"temperate"|"benthivore/piscivore:polychaetes;dead and dying fish"|||80|||"19;30"|"Nocturnal. Produces slime."|||"XXXXX"
"Oikopleura"|1831||"tunicate"|"small"||||||||||||||||"XXXXX"
"Pelonaia"|1824||"invertebrate"|"Ascidian"||"benthic"||||||||||||||"XXXXX"
"Sea Grapes"|1826||"invertebrate"|"Ascidian"||"benthic"||||||||||||||"XXXXX"
"Sea Potato"|1823||"invertebrate"|"Ascidian"|"inshore"|"benthic"|||||||8|||||||"XXXXX"
"Sea Peach"|1827||"invertebrate"|"Ascidian"||"benthic"|||||||8|||||||"XXXXX"
"Dendrodoa"|1822||"invertebrate"|"Ascidian"||"benthic"||||||||||||||"XXXXX"
"Larvacea"|1830||"invertebrate"|||||||||||||||||"XXXXX"
"Salpidae"|1840||"invertebrate"|"salps"||"pelagic"||||||||||||||"XXXXX"
"Thaliacea"|1845||"invertebrate"|||||||||||||||||"XXXXX"
"Protochordata, Tunicate, Sea Squirt"|1800||"invertebrate"|"Tunicate"||||||||||||||||"XXXXX"
"Tunicata S.P."|1810||"invertebrate"|"Tunicate"|||||||||||||"Synonym:Urochordata"|||"XXXXX"
"Shortnose Sturgeon"|249|"yes"|"fish"|"sturgeon"|"inshore;anadramous"|"demersal"|"bays;estuaries;rivers;sometimes open sea"||"subtropical"|"benthivore:crustaceans;bivalves;worms"|10|60|143|23|67|||||"XXXXX"
"Atlantic Sturgeon"|243|"yes"|"fish"|"sturgeon"|"inshore;shelf;anadromous"|"demersal"|"shallow shelf waters;coastal;rivers"|"?;46"|"subtropical"|"benthivore:crustaceans;bivalves;worms"|"20;25"|200|403|368|60|"100,000;1,000,000"||||"XXXXX"
"Sturgeons"|272|"yes"|"fish"|"sturgeon"|"inshore;anadramous"|"demersal"||||||||||||||"XXXXX"
"Amia Calva, Bowfin"|890||"fish"|"bowfins"|"inland;inshore"|"demersal"|"freshwater;swampy;vegetated lakes;rivers"||"15;20"|"piscivore/?:sport fishes;frogs;crayfish;insects;shrimps"|||109|9.7|12|||||"XXXXX"
"Longnose Gar"|250||"fish"|"gars"||||||||||||||||"XXXXX"
"Atlantic Silverside"|770||"fish"|"silversides"|"inshore"|"pelagic"|"sand or gravel shores"|"0;?"|"1;22, mostly 2;6"|"benthivore:copepods;mysids;shrimps;small squids; marine worms"|||15||2|"500;5000"|"Important prey fish"|||"XXXXX"
"Silversides (Sand smelts)"|669||"fish"|"silversides"||||||||||||||||"XXXXX"
"Atlantic Needlefish"|259||"fish"|"needlefishes"||||||||||||||||"XXXXX"
"Spotfin Flyingfish"|734|"no"|"fish"|"Flyingfishes"|"oceanic"|"pelagic"||"0;20"|"tropical"|"zooplanktivore/piscivore:"|||35||||"Capable of leaping out of the water and gliding for considerable distances above the surface"||"Genus name change from Cypselurus"|"XXXXX"
"Atlantic Flyingfish"|735||"fish"|"Flyingfishes"||||||||||||||4|"Fishbase calls this species Mediterranean Flying Fish and it is not found around here. Fishbase and Scott and Scott call Cypselurus melanurus the Atlantic Flying Fish"|"XXXXX"
"Fourwing Flying Fish"|682|"no"|"fish"|"Flyingfishes"|"shelf"||||||||||||"Rarely strays to NS. "|||"XXXXX"
"Blackwing Flyingfish"|736|"no"|"fish"|"Flyingfishes"|||||||||||||"Nova Scotia is very far north for this species."|||"XXXXX"
"Flying Fish"|748||"fish"|"Flyingfishes"||||||||||||||||"XXXXX"
